Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"L70",12/29/2025,,"Petco Park Concessions",73.96,,Posted,171.96,"Fast Food"
"L70",12/29/2025,,"LA Fitness",59.00,,Posted,98.00,"Gym"
"L70",12/28/2025,,"Tst*knotty Barrel - Sa San Diego",39.00,,Posted,39.00,"Health &amp; Fitness"
"L70",12/26/2025,,"Loan Payment from Share 09",,875.30,Posted,.00,"Financial"
"L70",12/26/2025,,"OpenAI",20.00,,Posted,868.22,"Business Services"
"L70",12/25/2025,,"Fansly Austin",9.99,,Posted,848.22,"Entertainment"
"L70",12/14/2025,,"LA Fitness",39.99,,Posted,838.23,"Gym"
"L70",12/10/2025,,"Loan Payment from Share 09",,20.00,Posted,798.24,"Financial"
"L70",12/10/2025,,"Uber",9.99,,Posted,818.24,"Rental Car &amp; Taxi"
"L70",12/9/2025,,"Transfer to Venmo",103.00,,Posted,808.25,"Transfer"
"L70",12/7/2025,,"1136 C Parking San Diego",5.20,,Posted,705.25,"Parking"
"L70",12/5/2025,,"Geico",58.64,,Posted,700.05,"Auto Insurance"
