Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"S09",3/30/2026,,"Palomar Community",,6103.89,Posted,49991.14,"Paycheck"
"S09",3/29/2026,,"Ysi Block",2608.28,,Posted,43887.25,"Mortgage &amp; Rent"
"S09",3/29/2026,,"Chevron",72.34,,Posted,46495.53,"Gas"
"S09",3/29/2026,,"Chevron",2.59,,Posted,46567.87,"Gas"
"S09",3/29/2026,,"Aldi",129.87,,Posted,46570.46,"Groceries"
"S09",3/27/2026,,"Starbucks",6.75,,Posted,46700.33,"Coffee Shops"
"S09",3/26/2026,,"Levi's Outlet",86.09,,Posted,46707.08,"Shopping"
"S09",3/26/2026,,"Starbucks",13.45,,Posted,46793.17,"Coffee Shops"
"S09",3/26/2026,,"The Salvation Army",17.95,,Posted,46806.62,"Charity"
"S09",3/24/2026,,"Paradise Pickleball Palm",10.30,,Posted,46824.57,"Entertainment"
"S09",3/24/2026,,"Paradise Pickleball Palm",10.30,,Posted,46834.87,"Entertainment"
"S09",3/24/2026,,"Walmart",64.64,,Posted,46845.17,"Shopping"
"S09",3/23/2026,,"Shabang Music Co Manhattan",146.76,,Posted,46909.81,"Music"
"S09",3/23/2026,,"Popeyes",21.25,,Posted,47056.57,"Fast Food"
"S09",3/23/2026,,"AT&amp;T",40.21,,Posted,47077.82,"Bills &amp; Utilities"
"S09",3/22/2026,,"Nordstrom Rack",50.58,,Posted,47118.03,"Shopping"
"S09",3/22/2026,,"Taco Restaurant Inc",22.12,,Posted,47168.61,"Fast Food"
"S09",3/22/2026,,"Chevron",13.34,,Posted,47190.73,"Gas"
"S09",3/21/2026,,"Total Wine and More",5.55,,Posted,47204.07,"Alcohol &amp; Bars"
"S09",3/21/2026,,"ATM Withdrawal Carmel Mt",200.00,,Posted,47209.62,"Cash"
"S09",3/20/2026,,"Loan Payment",638.21,,Posted,47409.62,"Financial"
"S09",3/20/2026,,"Sport Clips",41.00,,Posted,48047.83,"Hair"
"S09",3/20/2026,,"AGI Renters Insurance",21.92,,Posted,48088.83,"Home Insurance"
"S09",3/19/2026,,"Ralphs",57.38,,Posted,48110.75,"Groceries"
"S09",3/16/2026,,"Better Buzz Ran",16.77,,Posted,48168.13,"Restaurants"
"S09",3/16/2026,,"The Stand Carmel Mou",19.01,,Posted,48184.90,"Restaurants"
"S09",3/16/2026,,"Chevron",69.13,,Posted,48203.91,"Gas"
"S09",3/16/2026,,"The Salvation Army",15.49,,Posted,48273.04,"Charity"
"S09",3/15/2026,,"Taco Restaurant Inc",21.19,,Posted,48288.53,"Fast Food"
"S09",3/13/2026,,"The Home Depot",29.30,,Posted,48309.72,"Home Improvement"
"S09",3/8/2026,,"Ralphs",101.68,,Posted,48339.02,"Groceries"
"S09",3/8/2026,,"Claude.ai Subscription",20.00,,Posted,48440.70,"Electronics &amp; Software"
"S09",3/8/2026,,"Ikea",108.73,,Posted,48460.70,"Furnishings"
"S09",3/8/2026,,"Shell",29.71,,Posted,48569.43,"Gas"
"S09",3/6/2026,,"Loan Payment",316.58,,Posted,48599.14,"Financial"
"S09",3/6/2026,,"Amazon Prime Membership",16.15,,Posted,48915.72,"Shopping"
"S09",3/2/2026,,"Recurring Ysi Block",2544.89,,Posted,48931.87,"Mortgage &amp; Rent"
"S09",3/2/2026,,"Pitchers",58.44,,Posted,51476.76,"Restaurants"
"S09",3/1/2026,,"Ralphs",46.24,,Posted,51535.20,"Groceries"
