Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"L70",5/29/2026,,"Loan Payment from Share 09",,241.65,Posted,.00,"Financial"
"L70",5/29/2026,,"Amazon",27.18,,Posted,241.65,"Shopping"
"L70",5/25/2026,,"Fansly Austin",9.99,,Posted,214.47,"Entertainment"
"L70",5/24/2026,,"Vivid Seats",165.48,,Posted,204.48,"Entertainment"
"L70",5/19/2026,,"Hims &amp; Hers Health",39.00,,Posted,39.00,"Health &amp; Fitness"
"L70",5/15/2026,,"Loan Payment from Share 09",,379.56,Posted,.00,"Financial"
"L70",5/14/2026,,"Card 24 #0999 Date 05/13/26 0 6133432671 0 5812 Robs Jalap* Robs Jalap San Diego Ca",44.08,,Posted,379.56,"Uncategorized"
"L70",5/14/2026,,"LA Fitness",39.99,,Posted,335.48,"Gym"
"L70",5/11/2026,,"Pick Up Stix",16.14,,Posted,295.49,"Restaurants"
"L70",5/11/2026,,"Uber",39.94,,Posted,279.35,"Rental Car &amp; Taxi"
"L70",5/10/2026,,"Total Wine &amp; More",49.76,,Posted,239.41,"Alcohol &amp; Bars"
"L70",5/8/2026,,"Amazon",27.18,,Posted,189.65,"Shopping"
"L70",5/7/2026,,"Instacart",40.37,,Posted,162.47,"Groceries"
"L70",5/7/2026,,"Amazon",33.02,,Posted,122.10,"Shopping"
"L70",5/7/2026,,"Amazon",31.30,,Posted,89.08,"Shopping"
"L70",5/6/2026,,"Amazon",,10.86,Posted,57.78,"Shopping"
"L70",5/5/2026,,"Geico",57.78,,Posted,68.64,"Auto Insurance"
"L70",5/4/2026,,"Amazon",10.86,,Posted,10.86,"Shopping"
"L70",5/1/2026,,"Loan Payment from Share 09",,130.64,Posted,.00,"Financial"
"L70",5/1/2026,,"Amazon",32.61,,Posted,130.64,"Shopping"
