Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"L70",4/30/2026,,"Amazon",23.91,,Posted,98.03,"Shopping"
"L70",4/30/2026,,"Amazon",17.39,,Posted,74.12,"Shopping"
"L70",4/30/2026,,"Amazon",10.86,,Posted,56.73,"Shopping"
"L70",4/27/2026,,"Amazon",35.88,,Posted,45.87,"Shopping"
"L70",4/26/2026,,"Fansly Austin",9.99,,Posted,9.99,"Entertainment"
"L70",4/17/2026,,"Loan Payment from Share 09",,352.35,Posted,.00,"Financial"
"L70",4/16/2026,,"Amazon",60.01,,Posted,352.35,"Shopping"
"L70",4/15/2026,,"Amazon",105.76,,Posted,292.34,"Shopping"
"L70",4/14/2026,,"LA Fitness",39.99,,Posted,186.58,"Gym"
"L70",4/13/2026,,"Amazon Digital Services",1.59,,Posted,146.59,"Electronics &amp; Software"
"L70",4/10/2026,,"Uber",9.99,,Posted,145.00,"Rental Car &amp; Taxi"
"L70",4/10/2026,,"Amazon",24.99,,Posted,135.01,"Shopping"
"L70",4/8/2026,,"Amazon",13.85,,Posted,110.02,"Shopping"
"L70",4/5/2026,,"Amazon",7.82,,Posted,96.17,"Shopping"
"L70",4/5/2026,,"Amazon",20.24,,Posted,88.35,"Shopping"
"L70",4/5/2026,,"Geico",57.79,,Posted,68.11,"Auto Insurance"
"L70",4/5/2026,,"Amazon",10.32,,Posted,10.32,"Shopping"
"L70",4/3/2026,,"Loan Payment from Share 09",,191.47,Posted,.00,"Financial"
"L70",4/3/2026,,"Amazon",19.56,,Posted,191.47,"Shopping"
"L70",4/2/2026,,"Amazon",16.10,,Posted,171.91,"Shopping"
